STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
um_migrate             2048     2     10      80     72       --         5.434        --         0.139        3.751      --         0.420      --           14.708        5.339         25.620       
gh_hbm_shared          2048     2     10      0      72       --         0.339        --         --           0.051      --         0.000      --           0.278         0.066         0.683        
gh_hbm_shared          2048     2     10      10     72       --         0.324        --         --           0.051      --         0.105      --           2.188         0.443         2.955        
gh_hbm_shared          2048     2     10      25     72       --         0.289        --         --           0.043      --         0.096      --           2.181         0.388         2.858        
gh_hbm_shared          2048     2     10      30     72       --         0.301        --         --           0.042      --         0.099      --           2.146         0.377         2.824        
gh_hbm_shared          2048     2     10      50     72       --         0.327        --         --           0.033      --         0.101      --           2.076         0.333         2.736        
gh_hbm_shared          2048     2     10      70     72       --         0.321        --         --           0.033      --         0.242      --           2.065         0.436         2.822        
gh_hbm_shared          2048     2     10      80     72       --         0.311        --         --           0.032      --         0.069      --           1.966         0.239         2.516        
gh_cpu_shared          2048     2     10      0      72       --         --           --         --           0.471      --         0.000      --           1.209         0.486         1.695        
gh_cpu_shared          2048     2     10      10     72       --         --           --         --           0.433      --         0.383      --           2.748         0.627         3.375        
gh_cpu_shared          2048     2     10      25     72       --         --           --         --           0.357      --         0.376      --           2.397         0.570         2.968        
gh_cpu_shared          2048     2     10      30     72       --         --           --         --           0.358      --         0.410      --           2.435         0.585         3.020        
gh_cpu_shared          2048     2     10      50     72       --         --           --         --           0.252      --         0.357      --           2.513         0.541         3.054        
gh_cpu_shared          2048     2     10      70     72       --         --           --         --           0.152      --         0.088      --           2.007         0.286         2.293        
gh_cpu_shared          2048     2     10      80     72       --         --           --         --           0.121      --         0.081      --           1.876         0.247         2.123        
gh_hmm_pageable        2048     2     10      0      72       --         --           --         --           0.054      --         0.000      --           145.456       0.069         145.524      
gh_hmm_pageable        2048     2     10      10     72       --         --           --         --           0.053      --         0.048      --           150.077       0.249         150.326      
gh_hmm_pageable        2048     2     10      25     72       --         --           --         --           0.047      --         0.047      --           135.489       0.213         135.702      
gh_hmm_pageable        2048     2     10      30     72       --         --           --         --           0.043      --         0.041      --           143.115       0.193         143.308      
gh_hmm_pageable        2048     2     10      50     72       --         --           --         --           0.036      --         0.046      --           136.061       0.171         136.232      
gh_hmm_pageable        2048     2     10      70     72       --         --           --         --           0.034      --         0.054      --           144.771       0.156         144.927      
gh_hmm_pageable        2048     2     10      80     72       --         --           --         --           0.032      --         0.061      --           142.430       0.154         142.584      
gh_hmm_pageable_gpu_init 2048     2     10      0      72       --         --           --         --           0.054      --         0.000      --           0.168         0.068         0.236        
gh_hmm_pageable_gpu_init 2048     2     10      10     72       --         --           --         --           0.054      --         0.050      --           1.843         0.236         2.079        
gh_hmm_pageable_gpu_init 2048     2     10      25     72       --         --           --         --           0.050      --         0.072      --           1.860         0.230         2.090        
gh_hmm_pageable_gpu_init 2048     2     10      30     72       --         --           --         --           0.047      --         0.081      --           1.906         0.231         2.137        
gh_hmm_pageable_gpu_init 2048     2     10      50     72       --         --           --         --           0.039      --         0.083      --           1.916         0.208         2.124        
gh_hmm_pageable_gpu_init 2048     2     10      70     72       --         --           --         --           0.036      --         0.119      --           1.877         0.223         2.100        
gh_hmm_pageable_gpu_init 2048     2     10      80     72       --         --           --         --           0.036      --         0.118      --           1.956         0.214         2.170        
um_migrate_no_prefetch 2048     2     10      0      72       --         --           --         --           0.052      --         0.000      --           11.712        0.066         11.779       
um_migrate_no_prefetch 2048     2     10      10     72       --         --           --         --           13.753     --         0.347      --           43.064        20.092        63.155       
um_migrate_no_prefetch 2048     2     10      25     72       --         --           --         --           10.981     --         0.388      --           32.981        16.410        49.391       
um_migrate_no_prefetch 2048     2     10      30     72       --         --           --         --           11.781     --         0.330      --           34.506        16.792        51.298       
um_migrate_no_prefetch 2048     2     10      50     72       --         --           --         --           7.350      --         0.454      --           21.601        10.657        32.258       
um_migrate_no_prefetch 2048     2     10      70     72       --         --           --         --           4.245      --         0.444      --           13.747        6.772         20.519       
um_migrate_no_prefetch 2048     2     10      80     72       --         --           --         --           3.714      --         0.417      --           12.355        5.331         17.686       
gh_hbm_shared_no_prefetch 2048     2     10      0      72       --         --           --         --           0.052      --         0.000      --           0.995         0.066         1.061        
gh_hbm_shared_no_prefetch 2048     2     10      10     72       --         --           --         --           0.050      --         0.086      --           2.281         0.422         2.703        
gh_hbm_shared_no_prefetch 2048     2     10      25     72       --         --           --         --           0.044      --         0.111      --           2.276         0.401         2.677        
gh_hbm_shared_no_prefetch 2048     2     10      30     72       --         --           --         --           0.044      --         0.137      --           2.296         0.420         2.716        
gh_hbm_shared_no_prefetch 2048     2     10      50     72       --         --           --         --           0.035      --         0.101      --           2.183         0.336         2.518        
gh_hbm_shared_no_prefetch 2048     2     10      70     72       --         --           --         --           0.033      --         0.127      --           2.134         0.314         2.448        
gh_hbm_shared_no_prefetch 2048     2     10      80     72       --         --           --         --           0.032      --         0.070      --           2.052         0.244         2.296        
----------------------------------------------------------------------------------------------------------------
explicit               4096     1     10      0      72       0.498      --           0.489      --           0.089      --         0.000      --           0.300         0.097         1.384        
explicit               4096     1     10      10     72       0.481      --           0.460      --           0.087      --         0.067      --           3.058         0.759         8.919        
explicit               4096     1     10      25     72       0.620      --           0.462      --           0.080      --         0.140      --           3.260         0.866         8.687        
explicit               4096     1     10      30     72       0.623      --           0.462      --           0.078      --         0.164      --           3.299         0.893         8.530        
explicit               4096     1     10      50     72       0.624      --           0.465      --           0.069      --         0.317      --           3.637         1.043         8.116        
explicit               4096     1     10      70     72       0.622      --           0.465      --           0.061      --         0.460      --           3.982         1.197         7.706        
